node_a,node_b,relation
1,3099,stronger
2,1001,equivalent
2,1492,weaker
2,1871,weaker
3,252,stronger
3,4234,incomparable
4,4136,weaker
5,414,incomparable
5,3905,weaker
5,4159,incomparable
6,684,weaker
7,133,equivalent
7,950,equivalent
8,732,stronger
8,3593,incomparable
9,1072,incomparable
9,2721,stronger
10,743,stronger
10,3511,incomparable
11,2118,stronger
12,857,equivalent
12,1413,stronger
13,422,weaker
13,4000,incomparable
14,4576,incomparable
15,2988,equivalent
15,4271,weaker
16,1913,stronger
16,3308,incomparable
18,2299,equivalent
18,3185,weaker
19,1584,stronger
19,1693,stronger
20,597,equivalent
20,2687,weaker
21,1266,weaker
22,2609,weaker
22,4633,weaker
24,933,stronger
24,3015,incomparable
25,3889,incomparable
26,1195,stronger
26,1624,stronger
27,2010,stronger
27,2234,stronger
28,1292,stronger
30,1779,equivalent
30,2247,weaker
30,2311,equivalent
31,2768,stronger
31,3273,incomparable
31,4435,incomparable
32,33,equivalent
32,3805,weaker
33,3138,equivalent
34,1175,weaker
34,1769,stronger
34,3257,incomparable
35,2536,weaker
36,4484,weaker
37,1392,equivalent
37,4133,weaker
38,183,stronger
38,645,incomparable
38,1255,incomparable
38,2523,stronger
38,3847,incomparable
39,1513,stronger
40,459,incomparable
40,2988,stronger
41,1660,incomparable
42,503,incomparable
42,2342,stronger
42,3742,stronger
43,692,incomparable
43,788,stronger
44,3035,stronger
44,3890,weaker
46,1827,stronger
46,2777,stronger
46,2976,stronger
47,2139,stronger
47,4490,incomparable
47,4631,incomparable
48,425,stronger
48,764,stronger
48,1256,incomparable
48,1475,incomparable
48,1636,incomparable
49,355,incomparable
49,1764,incomparable
49,3869,incomparable
51,4009,incomparable
52,31,incomparable
52,1891,stronger
52,1999,stronger
52,2802,stronger
52,3004,stronger
53,1886,stronger
53,2456,incomparable
54,528,incomparable
55,4460,incomparable
56,1203,stronger
56,4330,incomparable
57,1079,stronger
57,1354,stronger
57,2291,incomparable
57,4538,incomparable
58,2977,stronger
58,3624,incomparable
58,4165,incomparable
59,185,stronger
59,2137,incomparable
59,3032,stronger
60,2130,incomparable
60,2703,stronger
61,842,weaker
61,1271,weaker
61,2356,stronger
61,2726,stronger
61,2773,stronger
62,16,incomparable
63,4376,incomparable
64,2845,equivalent
64,3915,weaker
66,1330,stronger
66,1627,stronger
67,1151,equivalent
67,1815,equivalent
67,2405,equivalent
67,2771,equivalent
67,4377,weaker
68,828,weaker
68,2598,stronger
69,2213,equivalent
69,2375,equivalent
69,2757,weaker
70,576,equivalent
70,664,weaker
70,960,weaker
70,2371,equivalent
70,3012,equivalent
71,3344,weaker
72,550,stronger
73,2647,incomparable
74,2023,equivalent
74,3628,weaker
76,1875,weaker
76,2145,equivalent
76,2889,weaker
76,3348,weaker
76,3847,weaker
77,2638,weaker
78,393,incomparable
80,3313,weaker
81,3554,weaker
82,650,incomparable
82,2160,stronger
82,3461,incomparable
