node_a,node_b,relation
1928,2568,equivalent
498,1557,equivalent
2230,4596,weaker
3677,2770,incomparable
872,3461,incomparable
1333,2358,equivalent
2205,4539,weaker
1794,2753,weaker
512,674,equivalent
1119,3338,incomparable
3084,3195,incomparable
4302,3761,incomparable
3080,1733,stronger
1445,4262,incomparable
4492,3104,stronger
626,961,stronger
3506,3827,stronger
897,2178,incomparable
1232,4154,incomparable
3309,280,incomparable
4298,3992,stronger
2992,573,stronger
807,972,weaker
4145,552,stronger
1846,1573,incomparable
2978,675,equivalent
1436,3395,incomparable
483,94,incomparable
2188,3030,equivalent
4101,4387,incomparable
3387,3354,equivalent
2647,3544,incomparable
4053,963,stronger
539,3409,weaker
4572,1528,incomparable
1764,2702,incomparable
2708,4197,weaker
4619,3037,stronger
629,3302,incomparable
3108,2626,stronger
4079,2534,incomparable
2680,3088,incomparable
3150,3791,incomparable
2176,1865,weaker
2494,2174,stronger
4615,70,stronger
1809,2071,weaker
4078,3063,incomparable
4212,3063,incomparable
3589,3838,equivalent
2605,1224,incomparable
2763,2564,equivalent
812,161,weaker
1255,4114,incomparable
205,3132,stronger
2194,2821,weaker
4401,2935,stronger
1617,2251,weaker
3620,3309,incomparable
3730,3669,incomparable
2312,3981,weaker
4284,845,incomparable
4683,554,incomparable
4251,897,incomparable
2895,3807,incomparable
2993,932,equivalent
3526,1395,incomparable
855,4530,incomparable
3505,4490,incomparable
3890,1857,incomparable
3138,532,weaker
1336,2359,stronger
1183,3083,weaker
3180,4141,incomparable
1833,721,stronger
122,3632,weaker
1345,1132,equivalent
1161,2543,weaker
3862,3946,stronger
3122,938,incomparable
4008,3017,stronger
4455,4460,weaker
4510,4167,incomparable
2454,250,incomparable
4111,2206,stronger
580,4483,weaker
828,2333,incomparable
831,1850,incomparable
3365,4079,weaker
4244,2735,stronger
1843,3479,incomparable
1185,1035,weaker
4498,3002,stronger
3923,2505,stronger
131,311,weaker
2154,1836,weaker
3212,989,weaker
1481,804,stronger
4194,1278,incomparable
589,3606,weaker
3848,641,incomparable
2528,1488,weaker
1934,3001,stronger
91,2575,weaker
1137,4377,incomparable
3616,2735,stronger
1205,2791,weaker
1299,1672,incomparable
4071,3315,incomparable
1855,1395,incomparable
1211,3545,weaker
4124,2387,stronger
3293,15,stronger
3518,2577,stronger
2577,599,equivalent
445,70,stronger
87,362,weaker
2492,2181,stronger
2979,2299,stronger
2416,3125,equivalent
4054,867,incomparable
2534,3346,incomparable
4394,935,stronger
2833,3413,weaker
185,1836,weaker
3304,2998,incomparable
2213,3705,weaker
3677,1294,stronger
1318,3792,incomparable
3520,3562,incomparable
2162,2427,stronger
3478,3336,incomparable
2523,3372,weaker
3314,4625,incomparable
4198,3625,weaker
1252,3145,incomparable
1928,1442,weaker
519,1308,equivalent
3590,3742,weaker
636,1893,stronger
1620,1097,equivalent
2504,97,stronger
1576,236,equivalent
4043,3495,weaker
1159,3331,weaker
4237,4492,weaker
3194,3927,weaker
1277,1108,equivalent
3013,3357,weaker
2204,744,weaker
3780,1772,incomparable
175,4100,weaker
137,1364,equivalent
2852,1719,incomparable
3153,893,weaker
3301,1545,stronger
909,4095,incomparable
1022,3218,stronger
3310,2008,stronger
2498,4604,weaker
4077,4395,incomparable
4460,4133,incomparable
4486,3102,incomparable
2163,1093,stronger
1776,647,incomparable
516,2299,stronger
2878,1038,incomparable
1154,1832,weaker
4110,1310,stronger
4333,3045,stronger
1451,4270,incomparable
3605,2306,incomparable
3806,4282,weaker
1012,436,weaker
523,4409,weaker
2350,4302,weaker
4482,135,stronger
4263,3969,stronger
2971,4420,weaker
316,4116,incomparable
3084,4297,incomparable
3163,4590,weaker
2394,3850,weaker
3407,786,incomparable
253,3767,weaker
2123,2044,weaker
3983,2639,stronger
2849,458,incomparable
3179,4534,weaker
1245,4552,incomparable
765,909,incomparable
4177,1192,incomparable
2977,2895,incomparable
2867,283,incomparable
3737,2583,stronger
2624,1279,weaker
201,4516,weaker
3517,2085,stronger
1784,3517,incomparable
1104,3758,incomparable
1837,3151,stronger
3284,571,incomparable
2060,2634,stronger
3481,1839,incomparable
3956,2132,incomparable
2653,3148,stronger
3544,3127,stronger
2554,2388,stronger
1004,1083,incomparable
2750,4020,weaker
809,3059,weaker
640,3250,stronger
2359,1920,stronger
3095,1022,incomparable
2601,3897,weaker
2680,4190,incomparable
2699,1988,stronger
1042,786,incomparable
1157,544,equivalent
3411,504,incomparable
3259,864,incomparable
645,4533,incomparable
4181,156,incomparable
4239,2578,stronger
3334,4421,incomparable
3031,4420,weaker
3635,1151,stronger
980,847,weaker
4490,1665,incomparable
2119,1120,incomparable
4290,2543,incomparable
1657,2752,stronger
2727,222,weaker
1560,375,incomparable
1501,3178,equivalent
675,1150,weaker
3414,2091,incomparable
332,4194,stronger
27,3558,incomparable
3265,1968,stronger
2126,2449,incomparable
383,3193,incomparable
2615,2640,equivalent
615,4482,incomparable
2726,1690,equivalent
2189,1485,weaker
3706,1152,incomparable
2049,3168,stronger
1450,4529,incomparable
3945,3420,stronger
1128,314,weaker
4633,788,stronger
4294,1322,incomparable
3779,3128,incomparable
1728,309,incomparable
1050,4595,incomparable
1585,1721,weaker
2132,4334,incomparable
2668,1870,incomparable
987,4246,weaker
720,3902,weaker
4350,1604,stronger
3121,2569,equivalent
4632,2256,incomparable
1820,3466,weaker
2969,1983,weaker
1389,4411,weaker
1074,3087,weaker
3927,1686,stronger
3338,1291,stronger
55,1418,stronger
1708,4164,weaker
