node_a,node_b,relation
1,1,equivalent
1,2,stronger
1,3,stronger
1,4,stronger
1,5,stronger
1,6,stronger
1,7,stronger
1,8,stronger
1,9,stronger
1,10,stronger
1,11,stronger
1,12,stronger
1,13,stronger
1,14,stronger
1,15,stronger
1,16,stronger
1,17,stronger
1,18,stronger
1,19,stronger
1,20,stronger
1,21,stronger
1,22,stronger
1,23,stronger
1,24,stronger
1,25,stronger
1,26,stronger
1,27,stronger
1,28,stronger
1,29,stronger
1,30,stronger
1,31,stronger
1,32,stronger
1,33,stronger
1,34,stronger
1,35,stronger
1,36,stronger
1,37,stronger
1,38,stronger
1,39,stronger
1,40,stronger
1,41,stronger
1,42,stronger
1,43,stronger
1,44,stronger
1,45,stronger
1,46,stronger
1,47,stronger
1,48,stronger
1,49,stronger
1,50,stronger
1,51,stronger
1,52,stronger
1,53,stronger
1,54,stronger
1,55,stronger
1,56,stronger
1,57,stronger
1,58,stronger
1,59,stronger
1,60,stronger
1,61,stronger
1,62,stronger
1,63,stronger
1,64,stronger
1,65,stronger
1,66,stronger
1,67,stronger
1,68,stronger
1,69,stronger
1,70,stronger
1,71,stronger
1,72,stronger
1,73,stronger
1,74,stronger
1,75,stronger
1,76,stronger
1,77,stronger
1,78,stronger
1,79,stronger
1,80,stronger
1,81,stronger
1,82,stronger
1,83,stronger
1,84,stronger
1,85,stronger
1,86,stronger
1,87,stronger
1,88,stronger
1,89,stronger
1,90,stronger
1,91,stronger
1,92,stronger
1,93,stronger
1,94,stronger
1,95,stronger
1,96,stronger
1,97,stronger
1,98,stronger
1,99,stronger
1,100,stronger
1,101,stronger
1,102,stronger
1,103,stronger
1,104,stronger
1,105,stronger
1,106,stronger
1,107,stronger
1,108,stronger
1,109,stronger
1,110,stronger
1,111,stronger
1,112,stronger
1,113,stronger
1,114,stronger
1,115,stronger
1,116,stronger
1,117,stronger
1,118,stronger
1,119,stronger
1,120,stronger
1,121,stronger
1,122,stronger
1,123,stronger
1,124,stronger
1,125,stronger
1,126,stronger
1,127,stronger
1,128,stronger
1,129,stronger
1,130,stronger
1,131,stronger
1,132,stronger
1,133,stronger
1,134,stronger
1,135,stronger
1,136,stronger
1,137,stronger
1,138,stronger
1,139,stronger
1,140,stronger
1,141,stronger
1,142,stronger
1,143,stronger
1,144,stronger
1,145,stronger
1,146,stronger
1,147,stronger
1,148,stronger
1,149,stronger
1,150,stronger
1,151,stronger
1,152,stronger
1,153,stronger
1,154,stronger
1,155,stronger
1,156,stronger
1,157,stronger
1,158,stronger
1,159,stronger
1,160,stronger
1,161,stronger
1,162,stronger
1,163,stronger
1,164,stronger
1,165,stronger
1,166,stronger
1,167,stronger
1,168,stronger
1,169,stronger
1,170,stronger
1,171,stronger
1,172,stronger
1,173,stronger
1,174,stronger
1,175,stronger
1,176,stronger
1,177,stronger
1,178,stronger
1,179,stronger
1,180,stronger
1,181,stronger
1,182,stronger
1,183,stronger
1,184,stronger
1,185,stronger
