Method,Family,Split seed,Test pairs,Accuracy,Balanced accuracy,Macro precision,Macro recall,Macro specificity,Macro F1,Weighted F1,Cohen's kappa,MCC
SEM Magma counter-model rule (no training),semantic,42,1280,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SEM Magma counter-model rule (no training),semantic,7,1344,0.9955357142857143,0.996734413041177,0.9925595238095238,0.996734413041177,0.9986037333367601,0.9946225985838609,0.9955404482962675,0.9935645334286736,0.9935738364684169
SEM Magma counter-model rule (no training),semantic,123,1434,0.99860529986053,0.9990875912408759,0.9985875706214689,0.9990875912408759,0.9995374653098983,0.9988357480302745,0.9986050113483905,0.99805536118208,0.9980574257328045
SEM Magma counter-model rule (no training),semantic,99,1336,0.9955089820359282,0.9961139896373057,0.9961636828644501,0.9961139896373057,0.9984177215189873,0.9961162298856738,0.9955000408524778,0.9938552299536076,0.9938758008484596
SEM Magma counter-model rule (no training),semantic,256,1392,0.9885057471264368,0.9928937004128693,0.9846172480620154,0.9928937004128693,0.9962941088757189,0.9886577899580509,0.9885066327232133,0.983100643438145,0.9832074056890491
STRUCT WL (h=3) + structural invariants,structural,42,1280,0.9515625,0.955696676956923,0.9580435815104931,0.955696676956923,0.9820731360011759,0.9568067519595476,0.9515850011490553,0.9307968133048707,0.9308244832006441
STRUCT WL (h=3) + structural invariants,structural,7,1344,0.9389880952380952,0.9268401705207041,0.95316516703503,0.9268401705207041,0.9763366877588879,0.9389883603839239,0.9389973722909879,0.9114215329713828,0.9116585589557006
STRUCT WL (h=3) + structural invariants,structural,123,1434,0.9567642956764296,0.9653891220887354,0.9596082704683762,0.9653891220887354,0.9849108400485964,0.9621147402231158,0.9566020956915832,0.9399236172863865,0.9403391086720037
STRUCT WL (h=3) + structural invariants,structural,99,1336,0.9505988023952096,0.9558125379514184,0.9540755760822293,0.9558125379514184,0.9828588676586999,0.9547763671124212,0.9507752597949135,0.932442951621504,0.9325844861562997
STRUCT WL (h=3) + structural invariants,structural,256,1392,0.9461206896551724,0.9486669590769927,0.9505508014378793,0.9486669590769927,0.9792824605362798,0.9495994247411984,0.9461288826825964,0.9205002695680514,0.9205023887152219
STRUCT Structural invariants (formal),structural,42,1280,0.875,0.8646293142194782,0.8505553938111988,0.8646293142194782,0.9565382354021975,0.8570995180361134,0.875573041943001,0.8222231481433256,0.8223846147792468
STRUCT Structural invariants (formal),structural,7,1344,0.8534226190476191,0.8406019948612835,0.8486759039341643,0.8406019948612835,0.9460375745168766,0.8444963448685938,0.8533150497661628,0.7880095631412325,0.7880512816768922
STRUCT Structural invariants (formal),structural,123,1434,0.900976290097629,0.9018473620846919,0.9040749920085235,0.9018473620846919,0.9652714086373,0.902333697114648,0.9008919922058004,0.8621719419035796,0.8625804900329177
STRUCT Structural invariants (formal),structural,99,1336,0.8794910179640718,0.8857773970100575,0.873418506265034,0.8857773970100575,0.9592786736553142,0.8785717876797337,0.8799510810849451,0.8357125290048011,0.8360839302410532
STRUCT Structural invariants (formal),structural,256,1392,0.8656609195402298,0.8745700880024192,0.8339996149083204,0.8745700880024192,0.95217457180198,0.8514491414497103,0.8663838988134093,0.8042980097796864,0.8049948610545469
STRUCT Weisfeiler-Lehman subtree features (h=3),structural,42,1280,0.77578125,0.7515819790409954,0.7555153318555077,0.7515819790409954,0.920010886341087,0.7531351035329727,0.775427008880573,0.6798680989641203,0.6800360466312344
STRUCT Weisfeiler-Lehman subtree features (h=3),structural,7,1344,0.8035714285714286,0.767716543010287,0.78161270664955,0.767716543010287,0.9274859391026208,0.7737072144594944,0.8027025174886568,0.7138615258686387,0.7149725479442681
STRUCT Weisfeiler-Lehman subtree features (h=3),structural,123,1434,0.800557880055788,0.7877580706675948,0.7908892787554733,0.7877580706675948,0.9319840536777303,0.7858159165341283,0.7997289897706767,0.7235548988786463,0.725964399258453
STRUCT Weisfeiler-Lehman subtree features (h=3),structural,99,1336,0.8001497005988024,0.8007768490360876,0.7941085959432487,0.8007768490360876,0.9321238078802313,0.796280602704782,0.8009774684923873,0.7273340172048206,0.7280348107489855
STRUCT Weisfeiler-Lehman subtree features (h=3),structural,256,1392,0.8426724137931034,0.8319335049203064,0.7947539392420382,0.8319335049203064,0.9449033189497281,0.8098960950038405,0.8446796975124159,0.7706205813040063,0.7711742463981094
"NL Representation-specific, RAW | Direct latents [z(A),z(B),z(A)-z(B)] (19 views)",natural-latents,42,1280,0.77734375,0.7648646151207626,0.7586733233962029,0.7648646151207626,0.9212326140080109,0.7611733750503804,0.7773451464978872,0.6837626694314316,0.6843731752478495
"NL Representation-specific, RAW | Direct latents [z(A),z(B),z(A)-z(B)] (19 views)",natural-latents,7,1344,0.8199404761904762,0.7728432306552344,0.7949028304930503,0.7728432306552344,0.9339024461391754,0.7828324896614909,0.8185640621927933,0.7378142318776324,0.7383373631443133
