Method,True,Predicted,Count
SEM Magma counter-model rule (no training),equivalent,equivalent,680
SEM Magma counter-model rule (no training),equivalent,stronger,0
SEM Magma counter-model rule (no training),equivalent,weaker,0
SEM Magma counter-model rule (no training),equivalent,incomparable,0
SEM Magma counter-model rule (no training),stronger,equivalent,2
SEM Magma counter-model rule (no training),stronger,stronger,1727
SEM Magma counter-model rule (no training),stronger,weaker,0
SEM Magma counter-model rule (no training),stronger,incomparable,0
SEM Magma counter-model rule (no training),weaker,equivalent,2
SEM Magma counter-model rule (no training),weaker,stronger,0
SEM Magma counter-model rule (no training),weaker,weaker,1727
SEM Magma counter-model rule (no training),weaker,incomparable,0
SEM Magma counter-model rule (no training),incomparable,equivalent,0
SEM Magma counter-model rule (no training),incomparable,stronger,13
SEM Magma counter-model rule (no training),incomparable,weaker,13
SEM Magma counter-model rule (no training),incomparable,incomparable,2622
STRUCT WL (h=3) + structural invariants,equivalent,equivalent,654
STRUCT WL (h=3) + structural invariants,equivalent,stronger,10
STRUCT WL (h=3) + structural invariants,equivalent,weaker,8
STRUCT WL (h=3) + structural invariants,equivalent,incomparable,8
STRUCT WL (h=3) + structural invariants,stronger,equivalent,3
STRUCT WL (h=3) + structural invariants,stronger,stronger,1649
STRUCT WL (h=3) + structural invariants,stronger,weaker,1
STRUCT WL (h=3) + structural invariants,stronger,incomparable,76
STRUCT WL (h=3) + structural invariants,weaker,equivalent,3
STRUCT WL (h=3) + structural invariants,weaker,stronger,1
STRUCT WL (h=3) + structural invariants,weaker,weaker,1648
STRUCT WL (h=3) + structural invariants,weaker,incomparable,77
STRUCT WL (h=3) + structural invariants,incomparable,equivalent,5
STRUCT WL (h=3) + structural invariants,incomparable,stronger,77
STRUCT WL (h=3) + structural invariants,incomparable,weaker,78
STRUCT WL (h=3) + structural invariants,incomparable,incomparable,2488
STRUCT Structural invariants (formal),equivalent,equivalent,589
STRUCT Structural invariants (formal),equivalent,stronger,36
STRUCT Structural invariants (formal),equivalent,weaker,33
STRUCT Structural invariants (formal),equivalent,incomparable,22
STRUCT Structural invariants (formal),stronger,equivalent,58
STRUCT Structural invariants (formal),stronger,stronger,1532
STRUCT Structural invariants (formal),stronger,weaker,2
STRUCT Structural invariants (formal),stronger,incomparable,137
STRUCT Structural invariants (formal),weaker,equivalent,60
STRUCT Structural invariants (formal),weaker,stronger,3
STRUCT Structural invariants (formal),weaker,weaker,1528
STRUCT Structural invariants (formal),weaker,incomparable,138
STRUCT Structural invariants (formal),incomparable,equivalent,15
STRUCT Structural invariants (formal),incomparable,stronger,169
STRUCT Structural invariants (formal),incomparable,weaker,174
STRUCT Structural invariants (formal),incomparable,incomparable,2290
STRUCT Weisfeiler-Lehman subtree features (h=3),equivalent,equivalent,483
STRUCT Weisfeiler-Lehman subtree features (h=3),equivalent,stronger,90
STRUCT Weisfeiler-Lehman subtree features (h=3),equivalent,weaker,92
STRUCT Weisfeiler-Lehman subtree features (h=3),equivalent,incomparable,15
STRUCT Weisfeiler-Lehman subtree features (h=3),stronger,equivalent,96
STRUCT Weisfeiler-Lehman subtree features (h=3),stronger,stronger,1408
STRUCT Weisfeiler-Lehman subtree features (h=3),stronger,weaker,14
STRUCT Weisfeiler-Lehman subtree features (h=3),stronger,incomparable,211
STRUCT Weisfeiler-Lehman subtree features (h=3),weaker,equivalent,99
STRUCT Weisfeiler-Lehman subtree features (h=3),weaker,stronger,14
STRUCT Weisfeiler-Lehman subtree features (h=3),weaker,weaker,1398
STRUCT Weisfeiler-Lehman subtree features (h=3),weaker,incomparable,218
STRUCT Weisfeiler-Lehman subtree features (h=3),incomparable,equivalent,14
STRUCT Weisfeiler-Lehman subtree features (h=3),incomparable,stronger,230
STRUCT Weisfeiler-Lehman subtree features (h=3),incomparable,weaker,230
STRUCT Weisfeiler-Lehman subtree features (h=3),incomparable,incomparable,2174
"NL Representation-specific, RAW | Direct latents [z(A),z(B),z(A)-z(B)] (19 views)",equivalent,equivalent,462
"NL Representation-specific, RAW | Direct latents [z(A),z(B),z(A)-z(B)] (19 views)",equivalent,stronger,98
"NL Representation-specific, RAW | Direct latents [z(A),z(B),z(A)-z(B)] (19 views)",equivalent,weaker,95
