Rank,Family,Method,Class,Support,TP,FP,FN,TN,Precision,Recall,Specificity,F1,Accuracy,Precision mean over splits,Precision std over splits,Recall mean over splits,Recall std over splits,Specificity mean over splits,Specificity std over splits,F1 mean over splits,F1 std over splits,Accuracy mean over splits,Accuracy std over splits
1,semantic,SEM Magma counter-model rule (no training),equivalent,680,680,4,0,6102,0.9941520467836257,1.0,0.9993449066491975,0.9970674486803519,0.999410551134689,0.9922619047619048,0.009523809523809544,1.0,0.0,0.9993676844815486,0.0007748373951727585,0.9960929350403035,0.004809153447909231,0.9994150246305418,0.0007166293206114863
1,semantic,SEM Magma counter-model rule (no training),stronger,1729,1727,13,2,5044,0.9925287356321839,0.9988432620011567,0.9974293059125964,0.9956759873162294,0.997789566755084,0.992640257762031,0.00700751210318802,0.9988112690982955,0.0014559161830796355,0.9974573693757713,0.0023057331785644327,0.9957066675049495,0.004055983187960209,0.9978155743308609,0.0019840339817272824
1,semantic,SEM Magma counter-model rule (no training),weaker,1729,1727,13,2,5044,0.9925287356321839,0.9988432620011567,0.9974293059125964,0.9956759873162294,0.997789566755084,0.992640257762031,0.00700751210318802,0.9988112690982955,0.0014559161830796355,0.9974573693757713,0.0023057331785644327,0.9957066675049495,0.004055983187960209,0.9978155743308609,0.0019840339817272824
1,semantic,SEM Magma counter-model rule (no training),incomparable,2648,2622,0,26,4138,1.0,0.9901812688821753,1.0,0.995066413662239,0.9961685823754789,1.0,0.0,0.9902412172691915,0.008193643148941828,1.0,0.0,0.9950796231160857,0.004143980955712382,0.9962161240311799,0.0034795483063103727
2,structural,STRUCT WL (h=3) + structural invariants,equivalent,680,654,11,26,6095,0.9834586466165414,0.961764705882353,0.9981984932852932,0.9724907063197026,0.9945475979958739,0.9839833604422339,0.012258533705295447,0.9556634371085376,0.03855888401023758,0.9981854743492503,0.0014617762844978948,0.969029485608228,0.017729042808921666,0.9945332248026876,0.0022040137447709315
2,structural,STRUCT WL (h=3) + structural invariants,stronger,1729,1649,88,80,4969,0.9493379389752447,0.9537304800462695,0.982598378485268,0.9515291402192729,0.9752431476569408,0.9489763660274688,0.008720160339508247,0.9538181911259024,0.016179949930104017,0.982649611115081,0.002140980778385248,0.9512737376634337,0.0073615344018464765,0.9751699220807822,0.0035407521168978103
2,structural,STRUCT WL (h=3) + structural invariants,weaker,1729,1648,87,81,4970,0.9498559077809798,0.9531521110468479,0.982796124184299,0.9515011547344111,0.9752431476569408,0.9494633950603644,0.012685296775019079,0.9529995028422654,0.014074453843655764,0.9829469207903669,0.0035833458745570886,0.9511055109934343,0.007796655565040542,0.9752280206588596,0.002968628261516098
2,structural,STRUCT WL (h=3) + structural invariants,incomparable,2648,2488,161,160,3977,0.9392223480558701,0.9395770392749244,0.9610923151280812,0.9393996601850104,0.9526967285587975,0.9379315956971391,0.022405321027826344,0.9394432421991133,0.011803175632639273,0.9605875873482137,0.013408277432475682,0.9384197812710695,0.008445752007690531,0.9526825856436332,0.0040320408551781034
3,structural,STRUCT Structural invariants (formal),equivalent,680,589,133,91,5973,0.8157894736842105,0.8661764705882353,0.9782181460858173,0.8402282453637661,0.9669908635425877,0.807116323906493,0.07840399905219134,0.859813331224274,0.050668743306201774,0.9780204416959579,0.008730549941508958,0.8301814104229687,0.04970079752178304,0.9667263312405838,0.007317115980935593
3,structural,STRUCT Structural invariants (formal),stronger,1729,1532,208,197,4849,0.8804597701149425,0.8860613071139387,0.9588688946015425,0.8832516575381955,0.9403183023872679,0.8797237512627556,0.023898195004334127,0.8857535652545042,0.023106137301777418,0.9590147312765417,0.006494721700257093,0.882517768708895,0.01886835710349563,0.9401828014635136,0.008495839968951464
3,structural,STRUCT Structural invariants (formal),weaker,1729,1528,209,201,4848,0.8796776050662061,0.8837478311162522,0.9586711489025114,0.8817080207732256,0.9395814913056293,0.8788069167747864,0.02164242465476885,0.8834387122593033,0.026186865472953666,0.958829008267891,0.00509197468735133,0.8808807116933643,0.018926789949792296,0.9394872656846889,0.007859653047291321
3,structural,STRUCT Structural invariants (formal),incomparable,2648,2290,297,358,3841,0.885195206803247,0.8648036253776435,0.9282261962300629,0.8748806112702961,0.9034777483053346,0.8829325367977578,0.032032644196050085,0.8649353162042628,0.011377819921700675,0.9275761899705438,0.018291157367998707,0.8735805004938111,0.018548799165636586,0.9034239402710338,0.014165532344592334
